epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,691.591,1.7501,1.64501,1.28966,0.56899,0.20894,0.21092,0.10724,1.63374,1.25211,1.24661,0.00999431,0.00333144,0.00999431,0.00333144,0.00999431,0.00333144,0.00999431,0.00333144
2,1293.1,1.64403,1.2434,1.21955,0.49057,0.19366,0.19566,0.09584,1.66486,1.28059,1.26948,0.0194995,0.00649982,0.0194995,0.00649982,0.0194995,0.00649982,0.0194995,0.00649982
3,1863.07,1.67833,1.279,1.24521,0.54881,0.19638,0.19568,0.09575,1.67772,1.30409,1.29117,0.0285096,0.0095032,0.0285096,0.0095032,0.0285096,0.0095032,0.0285096,0.0095032
4,2415.93,1.66537,1.26273,1.24578,0.57683,0.22026,0.22031,0.11054,1.62345,1.22146,1.27724,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,2964.42,1.60406,1.17474,1.21552,0.51461,0.23252,0.23247,0.11922,1.59078,1.17437,1.25386,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,3524.14,1.55622,1.11439,1.19269,0.54946,0.24043,0.24393,0.12572,1.57175,1.13686,1.24417,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,4075.92,1.52247,1.07236,1.17515,0.54802,0.23813,0.25179,0.12951,1.5708,1.12438,1.23727,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,4625.94,1.49058,1.03272,1.1617,0.56335,0.24341,0.25682,0.13296,1.55584,1.11268,1.22629,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,5175.91,1.46572,1.00616,1.14789,0.51658,0.25349,0.26355,0.13885,1.5444,1.09463,1.22234,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,5724.21,1.44082,0.97905,1.13767,0.57666,0.25227,0.26442,0.1387,1.53994,1.09653,1.2181,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,6273.84,1.42194,0.96003,1.12765,0.57104,0.25585,0.27067,0.1412,1.53544,1.08087,1.2193,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,6824.02,1.40338,0.93711,1.11932,0.52985,0.26811,0.2754,0.14364,1.53067,1.06857,1.21165,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
13,7374.91,1.38658,0.92159,1.11353,0.4797,0.2636,0.27477,0.14486,1.52986,1.06699,1.211,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
14,7920.34,1.36918,0.90588,1.10508,0.53962,0.25915,0.2752,0.14289,1.53198,1.07098,1.20987,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
15,8466.8,1.35255,0.88967,1.09821,0.5373,0.26581,0.2802,0.14591,1.5249,1.06271,1.20672,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
16,9015.86,1.33996,0.8769,1.09288,0.5462,0.26888,0.28357,0.14763,1.52024,1.05488,1.20469,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
